==================================================
MICRO-515 Challenge 1a - Evaluation Results
==================================================

Controller type : NeuralNetworkController
Checkpoint      : results/20260319_112015_neural_controller_ckpts
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:     -53.67
  Episode   2:     -63.59
  Episode   3:     -44.82
  Episode   4:    -592.31
  Episode   5:      -9.49
  Episode   6:     -48.35
  Episode   7:     -28.37
  Episode   8:     -16.47
  Episode   9:     -49.82
  Episode  10:     -22.38
  Episode  11:     -12.65
  Episode  12:     -59.35
  Episode  13:     -16.86
  Episode  14:     -31.00
  Episode  15:     -10.90
  Episode  16:     -75.15
  Episode  17:     -25.24
  Episode  18:     -14.50
  Episode  19:       3.40
  Episode  20:    -149.78
  Episode  21:      -4.52
  Episode  22:     -16.19
  Episode  23:     -14.92
  Episode  24:     -26.86
  Episode  25:       2.85
  Episode  26:     -19.24
  Episode  27:     -17.52
  Episode  28:     -12.26
  Episode  29:       1.03
  Episode  30:     -21.05
  Episode  31:     -12.00
  Episode  32:     -50.55
  Episode  33:     -34.97
  Episode  34:     -22.58
  Episode  35:       2.12
  Episode  36:      -7.77
  Episode  37:     -22.49
  Episode  38:      -3.78
  Episode  39:     -22.83
  Episode  40:      -6.69
  Episode  41:     -17.01
  Episode  42:     -21.29
  Episode  43:       1.65
  Episode  44:     -11.66
  Episode  45:     -20.41
  Episode  46:     -35.24
  Episode  47:     -13.40
  Episode  48:     -17.75
  Episode  49:      -6.51
  Episode  50:     -31.14
  Episode  51:     -10.57
  Episode  52:     -26.72
  Episode  53:     -10.77
  Episode  54:       4.19
  Episode  55:      22.03
  Episode  56:      -6.79
  Episode  57:     -18.13
  Episode  58:     -13.43
  Episode  59:       1.28
  Episode  60:     -16.52
  Episode  61:      -6.05
  Episode  62:      -1.47
  Episode  63:     -15.81
  Episode  64:      40.47
  Episode  65:      -9.35
  Episode  66:     -51.27
  Episode  67:     -49.78
  Episode  68:     -21.50
  Episode  69:     -16.39
  Episode  70:      -7.78
  Episode  71:     -10.67
  Episode  72:     -57.65
  Episode  73:      -9.35
  Episode  74:      -5.77
  Episode  75:      -6.96
  Episode  76:      -5.47
  Episode  77:      17.12
  Episode  78:     -69.85
  Episode  79:       1.97
  Episode  80:       1.96
  Episode  81:     -17.82
  Episode  82:     -11.59
  Episode  83:     -65.43
  Episode  84:       4.03
  Episode  85:     -63.10
  Episode  86:     -15.22
  Episode  87:     -14.48
  Episode  88:    -466.73
  Episode  89:     -54.52
  Episode  90:      -8.71
  Episode  91:      -4.38
  Episode  92:     -58.39
  Episode  93:      -7.00
  Episode  94:     -22.65
  Episode  95:     -68.04
  Episode  96:      -1.92
  Episode  97:     -15.50
  Episode  98:     -39.98
  Episode  99:     -37.84
  Episode 100:     -58.02
  Episode 101:     -36.13
  Episode 102:     -38.13
  Episode 103:      -2.20
  Episode 104:     -18.91
  Episode 105:     -30.94
  Episode 106:     -13.38
  Episode 107:     -16.85
  Episode 108:      -8.42
  Episode 109:       3.89
  Episode 110:     -91.72
  Episode 111:       9.09
  Episode 112:     -15.89
  Episode 113:     -54.16
  Episode 114:     -15.59
  Episode 115:     -33.16
  Episode 116:     -48.38
  Episode 117:      -3.25
  Episode 118:     -20.49
  Episode 119:     -19.85
  Episode 120:      -5.60
  Episode 121:     -43.48
  Episode 122:     -75.98
  Episode 123:       1.49
  Episode 124:     -41.29
  Episode 125:     -18.17
  Episode 126:     -13.60
  Episode 127:      22.37
  Episode 128:     -16.11
  Episode 129:     -10.13
  Episode 130:     -23.04
  Episode 131:     -59.50
  Episode 132:      -8.73
  Episode 133:    -260.01
  Episode 134:     -11.92
  Episode 135:     -60.48
  Episode 136:      -7.53
  Episode 137:     -50.04
  Episode 138:    -721.14
  Episode 139:     -18.22
  Episode 140:      -0.98
  Episode 141:      -4.33
  Episode 142:      -5.68
  Episode 143:     -36.83
  Episode 144:       0.57
  Episode 145:     -12.69
  Episode 146:     -64.83
  Episode 147:     -13.22
  Episode 148:     -27.78
  Episode 149:     -20.06
  Episode 150:     -34.04
  Episode 151:     -25.57
  Episode 152:     -16.74
  Episode 153:      -1.14
  Episode 154:     -14.73
  Episode 155:     -47.55
  Episode 156:      -4.76
  Episode 157:     -14.38
  Episode 158:      -2.87
  Episode 159:     -48.60
  Episode 160:     -49.81
  Episode 161:     -37.82
  Episode 162:     -31.52
  Episode 163:     -14.65
  Episode 164:     -79.01
  Episode 165:      55.57
  Episode 166:     -33.89
  Episode 167:     -26.16
  Episode 168:     -17.56
  Episode 169:     -72.93
  Episode 170:       1.54
  Episode 171:     -17.68
  Episode 172:     -51.96
  Episode 173:     -33.92
  Episode 174:     -50.64
  Episode 175:      10.93
  Episode 176:     -31.94
  Episode 177:      -3.40
  Episode 178:     -91.06
  Episode 179:     -24.66
  Episode 180:       2.83
  Episode 181:     -15.42
  Episode 182:     -64.21
  Episode 183:     -43.57
  Episode 184:      -5.26
  Episode 185:     -70.73
  Episode 186:      -4.24
  Episode 187:      -7.32
  Episode 188:       4.29
  Episode 189:      -3.86
  Episode 190:     -14.39
  Episode 191:     -49.26
  Episode 192:      -0.19
  Episode 193:     -38.36
  Episode 194:    -430.97
  Episode 195:     -65.76
  Episode 196:      -1.80
  Episode 197:     -10.71
  Episode 198:      -1.85
  Episode 199:     -27.23
  Episode 200:     -24.38
  Episode 201:      -7.92
  Episode 202:     -49.52
  Episode 203:     -24.86
  Episode 204:     -41.55
  Episode 205:     -39.80
  Episode 206:     -13.46
  Episode 207:     -16.56
  Episode 208:     -11.05
  Episode 209:     -58.01
  Episode 210:     -46.35
  Episode 211:     -67.60
  Episode 212:     -12.87
  Episode 213:      -0.76
  Episode 214:     -23.33
  Episode 215:      -3.93
  Episode 216:     -48.85
  Episode 217:     -18.87
  Episode 218:     -27.14
  Episode 219:      -8.00
  Episode 220:     -12.94
  Episode 221:     -21.99
  Episode 222:      -9.77
  Episode 223:     -44.51
  Episode 224:      -7.61
  Episode 225:     -30.06
  Episode 226:     -18.94
  Episode 227:     -28.00
  Episode 228:     -22.66
  Episode 229:      -2.05
  Episode 230:      11.42
  Episode 231:     -53.29
  Episode 232:     -44.82
  Episode 233:     -41.06
  Episode 234:     -24.54
  Episode 235:     -19.77
  Episode 236:      12.07
  Episode 237:      -8.68
  Episode 238:     -16.02
  Episode 239:     -19.90
  Episode 240:     -34.07
  Episode 241:      -8.99
  Episode 242:      -3.32
  Episode 243:      -4.50
  Episode 244:      -3.88
  Episode 245:     -20.10
  Episode 246:      -8.71
  Episode 247:     -11.05
  Episode 248:       1.77
  Episode 249:     -20.20
  Episode 250:      -3.73
  Episode 251:       6.37
  Episode 252:     -27.13
  Episode 253:      -0.45
  Episode 254:       8.44
  Episode 255:     -34.89
  Episode 256:       5.09
--------------------------------------------------

MEAN SCORE : -31.32
STD        : 72.76
MIN        : -721.14
MAX        : 55.57

Video episode reward: -1.49
